,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.38,2946370.7195432163,4881071.571512649,3.5444924465863274,1.2268032186058873,0.025560090119007173,0.5089542678991306,0.1757036668829487,0.10230174355121734,431.2192130957014,0.003218701849290211,0.0445,99146.50902848053,1.4887591662177404,1130.5061483552545,6.964264215587347,6770.335551448163,2315.017243837217
0.39,2945066.581368536,4877941.87602614,3.542819785253155,1.268239724511074,0.02551145572240484,0.5088341648667782,0.1816272059774984,0.1023766388019898,430.3853168120032,0.003215588163370486,0.0445,99098.22798486237,1.4886725006001242,1130.5057590553263,6.962620789903928,6766.944880477688,2395.5019493302893
0.4,2943762.009058293,4874812.18053963,3.5411467319744037,1.297659613004465,0.025476925336849216,0.5087140053260726,0.1858803499919231,0.10243038035911173,429.73078873563645,0.00321314210693733,0.0445,99049.9186331789,1.4885857063310721,1130.5053278409541,6.960976591093247,6763.552976398659,2450.356137336409
0.41000000000000003,2942457.0068600993,4871682.485053121,3.5394732822937622,1.339062657825509,0.025428330213819822,0.508593788916794,0.19180148589415777,0.1025051512856951,428.901312415347,0.003210039568413248,0.0445,99001.58127620493,1.4884987837564474,1130.5048576351169,6.959331614220542,6760.159851492162,2530.773004799072
0.42,2941151.579188399,4868552.789566612,3.5377994315929118,1.3684490773136062,0.025393839111134263,0.5084735152667207,0.1960522255794563,0.10255879516695272,428.2501324870744,0.0032076018195845257,0.0445,98953.21622177515,1.4884117332321487,1130.5043514788215,6.957685854186378,6756.765518463554,2585.5593303391784
0.43,2939845.730613278,4865423.094080103,3.536125175101426,1.4098186451007564,0.02534528328039817,0.508353183992326,0.2019709560070915,0.10263344221353386,427.42503801410305,0.003204510342983593,0.0445,98904.82378199813,1.4883245551227118,1130.5038125240983,6.956039305736214,6753.369990410187,2665.9083111958416
0.44,2938539.4658484957,4862293.398593593,3.534450507907383,1.4391715794466262,0.025310831479522736,0.5082327946995271,0.20621928906590817,0.10268698874989932,426.77717687942794,0.0032020808351021146,0.0445,98856.40427252048,1.4882372498000003,1130.5032440264781,6.9543919634706155,6749.973280787773,2720.6267262088186
0.45,2937232.789738799,4859163.703107084,3.5327754249686927,1.4805076538688868,0.02526231496024778,0.5081123469844875,0.2121356117060047,0.10276151235725024,425.9564264080868,0.003199000335175707,0.0445,98807.95801184866,1.4881498176420211,1130.5026493369398,6.952743821856248,6746.575403375696,2800.9077729304477
0.46,2935925.7072464554,4856034.007620575,3.5310999211251644,1.509827086542984,0.025227902480583347,0.5079918404344723,0.21638153580948133,0.1028149618770305,425.3118548963016,0.0031965790016646933,0.0445,98759.48532071986,1.4880622590318027,1130.5020318933296,6.951094875237584,6743.176372240837,2855.55823043059
0.47000000000000003,2934618.2234370257,4852904.312134066,3.529423991111294,1.5511296508664343,0.025179425292410285,0.5078712746287571,0.22229544831682455,0.10288936248251879,424.4954108695062,0.0031935093934635428,0.0445,98710.98652152786,1.4879745743563821,1130.5013952112429,6.949445117849321,6739.776201700164,2935.771296589176
